N,Z,evict_cycle,max_stash,max_stash_count,avg_stash,avg_delay(us),max_delay(us)
1024,2,1,9,3,0.4,364.06,3800.9
1024,2,2,13,1,1.72,313.09,2674.4
1024,2,4,24,1,5.42,305.83,1078.2
1024,2,8,34,1,9.25,281.05,3821.5
1024,2,16,41,2,12.83,281.47,2316.2
1024,3,1,4,1,0.03,384.89,997.9
1024,3,2,6,1,0.1,331.45,946.3
1024,3,4,10,1,0.48,340.0,1384.9
1024,3,8,14,1,1.07,316.23,1444.7
1024,3,16,17,1,1.4,298.62,902.0
1024,4,1,4,1,0.0,480.65,1522.7
1024,4,2,4,3,0.02,415.97,2014.7
1024,4,4,6,1,0.09,354.37,3432.5
1024,4,8,9,1,0.22,337.94,1103.9
1024,4,16,12,1,0.3,325.39,1006.7
1024,5,1,1,10,0.0,543.78,1327.6
1024,5,2,5,1,0.0,412.25,1682.6
1024,5,4,7,1,0.02,362.34,1306.6
1024,5,8,7,3,0.07,337.94,1181.8
1024,5,16,7,2,0.1,370.32,2632.5
1024,8,1,0,20000,0.0,719.02,3607.2
1024,8,2,0,20000,0.0,579.76,3941.9
1024,8,4,1,6,0.0,521.58,2363.6
1024,8,8,6,1,0.0,454.41,3858.5
1024,8,16,4,3,0.0,433.04,3540.3
4096,2,1,7,2,0.25,371.5,1217.1
4096,2,2,13,4,1.73,317.86,1530.2
4096,2,4,42,1,8.78,311.81,1034.7
4096,2,8,58,1,17.25,301.16,1867.1
4096,2,16,74,1,23.99,288.71,1879.4
4096,3,1,5,1,0.01,450.6,1326.0
4096,3,2,6,1,0.08,352.38,1808.9
4096,3,4,10,1,0.46,343.02,1791.7
4096,3,8,17,1,1.22,318.84,1083.2
4096,3,16,20,2,1.95,302.13,1928.6
4096,4,1,2,5,0.0,519.96,1348.9
4096,4,2,4,1,0.01,408.12,1517.9
4096,4,4,6,1,0.08,366.76,1630.9
4096,4,8,8,7,0.21,357.81,1135.6
4096,4,16,11,1,0.3,322.72,1904.8
4096,5,1,1,2,0.0,615.2,2588.1
4096,5,2,3,2,0.0,467.9,2000.6
4096,5,4,5,2,0.02,409.26,1441.1
4096,5,8,7,1,0.05,407.39,1200.9
4096,5,16,9,1,0.09,377.28,1073.4
4096,8,1,0,20000,0.0,816.34,4080.7
4096,8,2,1,1,0.0,646.79,3125.9
4096,8,4,1,2,0.0,556.41,3493.0
4096,8,8,4,1,0.0,512.74,2272.1
4096,8,16,4,1,0.0,501.3,2845.2
16384,2,1,3,7,0.05,430.2,3500.7
16384,2,2,8,1,0.39,353.1,2294.8
16384,2,4,16,1,2.85,309.29,1420.3
16384,2,8,45,2,8.58,305.94,1712.8
16384,2,16,50,2,11.35,302.68,986.2
16384,3,1,2,1,0.0,481.03,1082.0
16384,3,2,3,9,0.03,384.37,1156.2
16384,3,4,7,2,0.16,342.21,1057.8
16384,3,8,11,1,0.47,307.77,1250.6
16384,3,16,15,1,0.73,305.75,1419.1
16384,4,1,2,1,0.0,574.69,1387.9
16384,4,2,4,1,0.0,463.45,1409.8
16384,4,4,5,2,0.03,393.95,2729.2
16384,4,8,5,2,0.06,374.46,4270.6
16384,4,16,6,3,0.09,332.32,2482.1
16384,5,1,0,20000,0.0,725.51,2409.6
16384,5,2,1,4,0.0,569.74,2183.4
16384,5,4,3,1,0.01,494.88,1947.3
16384,5,8,5,6,0.02,451.0,1752.0
16384,5,16,5,1,0.03,412.02,1713.5
16384,8,1,0,20000,0.0,966.14,2001.8
16384,8,2,0,20000,0.0,674.75,1732.1
16384,8,4,0,20000,0.0,591.3,1746.7
16384,8,8,2,2,0.0,528.03,1329.1
16384,8,16,2,3,0.0,509.17,1535.6
